Affiliation
"Department of Economics, University of Wyoming, 1000 E. University Avenue, Laramie, Wyoming, 82072 USA"
"Department of Forest Sciences, University of Helsinki, P.O. Box 27, FI-00014 Helsinki, Finland"
"Institute of Ecology and Earth Sciences, University of Tartu, Lai 40, 51005, Tartu, Estonia"
"Facultad de Ciencia y Tecnología, Universidad de La Rioja, Logroño, Spain"
"Department of Biological Sciences, Vanderbilt University, Nashville, TN, 37235 USA"
"Hokkaido Research Organization, Forestry Research Institute, Higashiyama, Koshunai, Bibai, 079-0198 Japan"
"Centre for Functional Ecology - Science for People & the Planet (CFE), Escola Superior Agrária - Instituto Politécnico de Coimbra, Bencanta, Portugal"
"Department of Science, University of Roma Tre, Viale Guglielmo Marconi 446, Roma, 00146 Italy"
"Department of Zoology, Tel Aviv University, Tel Aviv, 69978 Israel"
"Ecodiv URA/EA 1293, IRSTEA, FR CNRS 3730 SCALE, UFR Sciences et Techniques, Normandie université, Université de Rouen, 76821 Mont Saint Aignan Cedex, France"
"ISC-CNR, Sesto Fiorentino, Italy"
"Nees-Institute for Biodiversity of Plants, University of Bonn, Meckenheimer Allee 170, D-53115 Bonn, Germany"
"Leibniz Institute for Zoo and Wildlife Research, Berlin, Germany"
"Departamento de Zoologia, Universidade de Brasília, Brasília, Brazil"
"Faculty of Environmental Sciences and Natural Resource Management, Norwegian University of Life Sciences, P.O. Box 5003, 1432 Ås, Norway"
"INRA, Bordeaux Sciences Agro, UMR 1391 ISPA, MOST team, F-33140 Villenave d'Ornon, France"
"Rubenstein School of Environment and Natural Resources, University of Vermont, Burlington, Vermont, 05405 USA"
"Department of Entomology and Wildlife Ecology, University of Delaware, Newark, Delaware, 19716 USA"
"Bielefeld University, Bielefeld, Germany"
"Department of Environmental Science and Policy, George Mason University, Fairfax, Virginia, 22030 USA"
"Department of Natural Resource Ecology and Management, Oklahoma State University, Stillwater, Oklahoma, 74078 USA"
"School of Agriculture and Food Sciences, The University of Queensland, Gatton Campus, Gatton QLD 4343, Queensland, Australia"
"Oeschger Centre for Climate Change Research and Institute of Plant Sciences, University of Bern, Bern, Switzerland"
"Max Planck Institute for Ornithology, Eberhard-Gwinner-Str., 82319 Seewiesen, Germany"
"Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow, Graham Kerr Building, Glasgow, G12 8QQ UK"
"Remote Sensing and GIS Laboratory (LAST-EBD), Estación Biológica de Doñana (CSIC), C/AméricoVespucio, 26, 41092 Sevilla, Spain"
"Earth Institute Center for Environmental Sustainability, Columbia University, 10th Floor Schermerhorn Ext., 1200, Amsterdam Avenue, New York, NY 10027, U.S.A."
"IFEVA, Facultad de Agronomía, CONICET, Universidad de Buenos Aires, Av. San Martín 4453, C1417DSE Buenos Aires, Argentina"
"Departament de Genètica, Facultat de Biologia and Institut de Recerca de la Biodiversitat (IRBio), Universitat de Barcelona, Diagonal 643, 08028 Barcelona, Spain"
"Department of Biological & Allied Health Sciences, Fairleigh Dickinson University, Madison, NJ, USA"
"Center for Advanced Research of Spatial Information (CARSI), Hunter College – CUNY, New York, NY, USA"
"Department BiGeA, Alma Mater Studiorum – University of Bologna, Ravenna, Italy"
"Institute of Biotechnology, University of Helsinki, Helsinki, Finland"
"Faculty of Agriculture, Tokyo University of Agriculture and Technology, Fuchu, Tokyo, 183-8509 Japan"
"Department of Ecology and Systematics, Graduate School of Agriculture, Hokkaido University, Sapporo, Japan"
"Instituto Pirenaico de Ecología (CSIC), Avda Montañana 1005, P. O. Box 13034, E- 50080 Zaragoza, Spain"
"Department of Forest and Conservation Sciences, The University of British Columbia, 2424 Main Mall, Vancouver, BC, Canada, V6T 1Z4"
"Laboratorio de Ecología, Instituto de Investigaciones Marinas y Costeras (IIMyC), Universidad Nacional de Mar del Plata, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), CC 1260 Correo Central, B7600WAG, Mar del Plata, Argentina"
"Department of Biological Sciences, University of Wisconsin – Milwaukee, PO Box 413, Milwaukee, WI, 53201 USA"
"National Institute of Aquatic Resources, Technical University of Denmark, DK-2920 Charlottenlund, Denmark"
"School of Plant Biology, The University of Western Australia, 35 Stirling Highway, Crawley (Perth), WA, 6009 Australia"
"Department of Life Sciences, Ben-Gurion University of the Negev, Beer-Sheva, 84105 Israel"
"Department of Virology and Microbiology, Centro de Biología Molecular ‘Severo Ochoa’ (Consejo Superior de Investigaciones Científicas-Universidad Autónoma de Madrid), Nicolás Cabrera 1, Cantoblanco, 28049 Madrid, Spain"
"Ecology and Evolutionary Biology, Yale University, New Haven, Connecticut"
"Department of Natural Resources, College of Agriculture and Life Sciences, Cornell University, Ithaca, New York, 14853 USA"
"West Tennessee River Basin Authority, 3628 East End Road, Humboldt, TN, 38343 U.S.A."
"Department of Evolution, Ecology and Behaviour, University of Liverpool, Biosciences Building, Crown Street, Liverpool, L69 7ZB UK"
"Division of Biological Sciences, University of Montana, Missoula, MT, 59812 USA"
"National Center for Ecological Analysis and Synthesis, University of California–Santa Barbara, Santa Barbara, California, 93101 USA"
"Department of Biology, Huck Institutes of the Life Sciences, Pennsylvania State University, University Park, PA, USA"
"Centre for Ocean Life, National Institute for Aquatic Resources, Technical University of Denmark, DTU Aqua Kavalergården 6, Charlottenlund, 2920 Denmark"
"UMR5174 EDB (Laboratoire Évolution & Diversité Biologique), CNRS, Université Paul Sabatier, ENFA, 118 route de Narbonne, F-31062 Toulouse, France"
"cE3c: Centre for Ecology, Evolution, and Environmental Changes, Faculty of Sciences, Univ. of Lisbon, Edifício C2, PT-1749-016 Lisboa, Portugal"
"Department of Biological Sciences, Oakland University, Rochester, MI, 48309 USA"
"Entomology and Nematology Department, Florida Medical Entomology Laboratory, Institute of Food and Agricultural Sciences, University of Florida, Vero Beach, Florida, 32962 USA"
"School of Biological Sciences, Monash University, Melbourne, Vic, Australia"
"Percy FitzPatrick Institute of African Ornithology, DST/NRF Centre of Excellence, University of Cape Town, Rondebosch, 7701 South Africa"
"Department of Earth and Environmental Sciences (DISAT), University of Milano Bicocca, piazza della Scienza 1, 20126 Milano, Italy"
